buy_sequence_number,sell_sequence_number,buy_amount,sell_amount,volume,profit
1380,1400,5.000000,5.000523,0.000042,0.000523
1385,1405,5.000000,5.000148,0.000042,0.000148
1386,1406,5.000000,5.000148,0.000042,0.000148
2204,2224,5.000000,4.999993,0.000042,-0.000007
2479,2499,5.000000,4.999548,0.000042,-0.000452
2480,2500,5.000000,5.000018,0.000042,0.000018
2481,2501,5.000000,5.000018,0.000042,0.000018
2482,2502,5.000000,5.000018,0.000042,0.000018
2483,2503,5.000000,5.000018,0.000042,0.000018
2488,2508,5.000000,4.999747,0.000042,-0.000253
14387,14407,5.000000,5.000000,0.000042,-0.000000
